mass_A
t,x,y
1.544500000E1,-1.095381546E-1,-2.590839513E-1
1.547833333E1,-7.783082941E-2,-2.666115092E-1
1.551166667E1,-4.349008334E-2,-2.771487030E-1
1.554500000E1,-8.903984455E-3,-2.893338374E-1
1.557833333E1,2.748355948E-2,-3.044878781E-1
1.561166667E1,6.235232465E-2,-3.187776281E-1
1.564500000E1,9.493390799E-2,-3.316547543E-1
1.567833333E1,1.231953344E-1,-3.421169103E-1
1.571166667E1,1.471952541E-1,-3.491332446E-1
1.574500000E1,1.634585232E-1,-3.514532789E-1
1.577833333E1,1.714876630E-1,-3.494886630E-1
1.581166667E1,1.720238351E-1,-3.432265800E-1
1.584500000E1,1.647236608E-1,-3.325278743E-1
1.587833333E1,1.493947808E-1,-3.181038194E-1
1.591166667E1,1.270794216E-1,-3.018639741E-1
1.594500000E1,9.989449717E-2,-2.846299080E-1
1.597833333E1,6.934831488E-2,-2.679751561E-1
1.601166667E1,3.629238255E-2,-2.533794075E-1
1.604500000E1,2.815276774E-3,-2.424652043E-1
1.607833333E1,-3.052342913E-2,-2.369758136E-1
1.611166667E1,-6.343684392E-2,-2.374820655E-1
1.614500000E1,-9.390734452E-2,-2.411054117E-1
1.617833333E1,-1.236153778E-1,-2.485948174E-1
1.621166667E1,-1.500857452E-1,-2.586571706E-1
1.624500000E1,-1.710511643E-1,-2.705342876E-1
1.627833333E1,-1.851968309E-1,-2.837014929E-1
1.631166667E1,-1.916002022E-1,-2.964128167E-1
1.634500000E1,-1.907725379E-1,-3.078450519E-1
1.637833333E1,-1.822308952E-1,-3.168803885E-1
1.641166667E1,-1.652065960E-1,-3.237870270E-1
1.644500000E1,-1.411038533E-1,-3.284409152E-1
1.647833333E1,-1.118267756E-1,-3.301408277E-1
1.651166667E1,-7.853540690E-2,-3.291912891E-1
1.654500000E1,-4.187729469E-2,-3.262021378E-1
1.657833333E1,-4.419905935E-3,-3.217123071E-1
1.661166667E1,3.326555959E-2,-3.160502958E-1
1.664500000E1,6.904060395E-2,-3.103871725E-1
1.667833333E1,1.021036271E-1,-3.042353631E-1
1.671166667E1,1.311540660E-1,-2.969523329E-1
1.674500000E1,1.554379582E-1,-2.888289992E-1
1.677833333E1,1.700124961E-1,-2.822179434E-1
1.681166667E1,1.799981688E-1,-2.746218658E-1
